time;gFx;gFy;gFz;TgF
0,612000;-0,2697;0,3347;0,8920;0,990
0,614000;-0,2692;0,3364;0,8905;0,989
0,616000;-0,2685;0,3354;0,8893;0,988
0,618000;-0,2683;0,3342;0,8873;0,985
0,620000;-0,2663;0,3342;0,8844;0,982
0,622000;-0,2661;0,3345;0,8834;0,981
0,625000;-0,2656;0,3342;0,8800;0,978
0,626000;-0,2648;0,3357;0,8768;0,976
0,628000;-0,2641;0,3369;0,8766;0,976
0,630000;-0,2636;0,3362;0,8744;0,973
0,632000;-0,2648;0,3364;0,8724;0,972
0,636000;-0,2651;0,3345;0,8717;0,971
0,637000;-0,2634;0,3347;0,8705;0,969
0,638000;-0,2653;0,3364;0,8710;0,971
0,641000;-0,2643;0,3364;0,8702;0,970
0,642000;-0,2648;0,3359;0,8702;0,970
0,644000;-0,2658;0,3372;0,8712;0,971
0,646000;-0,2658;0,3386;0,8717;0,972
0,648000;-0,2658;0,3394;0,8724;0,973
0,651000;-0,2665;0,3398;0,8742;0,975
0,653000;-0,2673;0,3406;0,8744;0,976
0,655000;-0,2683;0,3401;0,8744;0,976
0,656000;-0,2692;0,3401;0,8744;0,976
0,659000;-0,2692;0,3389;0,8737;0,975
0,660000;-0,2700;0,3386;0,8737;0,975
0,663000;-0,2702;0,3394;0,8737;0,975
0,664000;-0,2697;0,3396;0,8739;0,976
0,666000;-0,2707;0,3391;0,8751;0,977
0,668000;-0,2719;0,3376;0,8768;0,978
0,671000;-0,2719;0,3384;0,8768;0,978
0,672000;-0,2709;0,3362;0,8768;0,977
0,674000;-0,2705;0,3357;0,8795;0,979
0,676000;-0,2702;0,3352;0,8805;0,980
0,678000;-0,2685;0,3347;0,8832;0,982
0,680000;-0,2661;0,3350;0,8864;0,984
0,683000;-0,2641;0,3340;0,8888;0,986
0,686000;-0,2619;0,3354;0,8915;0,988
0,686000;-0,2617;0,3367;0,8939;0,990
0,688000;-0,2612;0,3374;0,8947;0,991
0,691000;-0,2621;0,3352;0,8983;0,994
0,692000;-0,2621;0,3350;0,9008;0,996
0,694000;-0,2626;0,3357;0,9020;0,998
0,696000;-0,2643;0,3376;0,9040;1,001
0,698000;-0,2634;0,3367;0,9049;1,001
0,700000;-0,2624;0,3372;0,9044;1,000
0,702000;-0,2614;0,3364;0,9052;1,000
0,704000;-0,2626;0,3340;0,9052;1,000
0,706000;-0,2653;0,3328;0,9057;1,001
0,708000;-0,2661;0,3313;0,9052;1,000
0,710000;-0,2646;0,3332;0,9049;1,000
0,712000;-0,2636;0,3337;0,9027;0,998
0,714000;-0,2646;0,3328;0,9025;0,998
0,716000;-0,2656;0,3318;0,9015;0,997
0,719000;-0,2636;0,3310;0,9005;0,995
0,720000;-0,2641;0,3313;0,8998;0,995
0,722000;-0,2621;0,3298;0,9003;0,994
0,724000;-0,2602;0,3296;0,8981;0,991
0,726000;-0,2587;0,3310;0,8969;0,990
0,728000;-0,2590;0,3310;0,8976;0,991
0,730000;-0,2604;0,3301;0,8942;0,988
0,732000;-0,2609;0,3303;0,8939;0,988
0,735000;-0,2602;0,3315;0,8944;0,989
0,737000;-0,2636;0,3325;0,8964;0,992
0,738000;-0,2643;0,3337;0,8969;0,993
0,740000;-0,2656;0,3350;0,8979;0,994
0,742000;-0,2680;0,3367;0,8961;0,994
0,744000;-0,2695;0,3367;0,8957;0,994
0,746000;-0,2712;0,3372;0,8947;0,994
0,748000;-0,2719;0,3386;0,8922;0,992
0,750000;-0,2727;0,3398;0,8900;0,991
0,752000;-0,2724;0,3408;0,8869;0,988
0,754000;-0,2734;0,3418;0,8847;0,987
0,756000;-0,2739;0,3416;0,8837;0,986
0,758000;-0,2739;0,3394;0,8803;0,982
0,760000;-0,2729;0,3384;0,8805;0,982
0,762000;-0,2727;0,3364;0,8800;0,981
0,764000;-0,2702;0,3342;0,8805;0,980
0,766000;-0,2683;0,3328;0,8800;0,978
0,768000;-0,2670;0,3332;0,8800;0,978
0,771000;-0,2634;0,3335;0,8805;0,978
0,775000;-0,2617;0,3332;0,8822;0,979
0,775000;-0,2607;0,3337;0,8832;0,979
0,776000;-0,2573;0,3342;0,8847;0,980
0,779000;-0,2563;0,3357;0,8861;0,982
0,780000;-0,2548;0,3362;0,8864;0,982
0,782000;-0,2529;0,3369;0,8873;0,982
0,784000;-0,2534;0,3376;0,8876;0,983
0,786000;-0,2536;0,3386;0,8891;0,985
0,788000;-0,2514;0,3389;0,8898;0,985
0,790000;-0,2521;0,3411;0,8905;0,986
0,792000;-0,2531;0,3406;0,8913;0,987
0,794000;-0,2541;0,3398;0,8900;0,986
0,797000;-0,2541;0,3386;0,8903;0,986
0,798000;-0,2543;0,3394;0,8898;0,986
0,800000;-0,2558;0,3391;0,8908;0,987
0,802000;-0,2582;0,3396;0,8930;0,990
0,805000;-0,2585;0,3406;0,8930;0,990
0,806000;-0,2621;0,3423;0,8922;0,991
0,809000;-0,2663;0,3425;0,8920;0,992
0,811000;-0,2683;0,3437;0,8925;0,993
0,812000;-0,2712;0,3455;0,8927;0,995
0,815000;-0,2771;0,3484;0,8930;0,998
0,817000;-0,2795;0,3499;0,8932;0,999
0,820000;-0,2829;0,3516;0,8905;0,998
0,820000;-0,2858;0,3499;0,8876;0,996
0,823000;-0,2868;0,3501;0,8876;0,996
0,825000;-0,2888;0,3501;0,8849;0,994
0,826000;-0,2910;0,3503;0,8810;0,992
0,829000;-0,2924;0,3508;0,8795;0,991
0,831000;-0,2964;0,3501;0,8756;0,988
0,833000;-0,2951;0,3469;0,8729;0,985
0,835000;-0,2949;0,3469;0,8724;0,984
0,836000;-0,2946;0,3477;0,8695;0,982
0,840000;-0,2905;0,3457;0,8705;0,981
0,841000;-0,2905;0,3455;0,8717;0,982
0,843000;-0,2868;0,3459;0,8729;0,982
0,845000;-0,2839;0,3467;0,8764;0,984
0,846000;-0,2834;0,3459;0,8773;0,985
0,849000;-0,2797;0,3472;0,8788;0,985
0,852000;-0,2788;0,3474;0,8793;0,986
0,852000;-0,2771;0,3469;0,8795;0,985
